Date,Open,High,Low,Close,Volume
25-Apr-13,87.28,87.80,86.15,86.44,1034524
24-Apr-13,84.46,87.42,84.46,86.72,930810
23-Apr-13,85.07,85.35,83.58,84.39,1216401
22-Apr-13,82.84,85.54,82.02,85.21,1320554
19-Apr-13,82.30,82.74,80.11,82.70,1405620
18-Apr-13,81.24,82.92,79.45,82.39,1362696
17-Apr-13,82.10,82.10,78.58,81.16,2215724
16-Apr-13,81.95,83.90,80.84,83.48,1607142
15-Apr-13,85.34,85.39,80.19,80.50,1688230
12-Apr-13,88.75,88.95,85.74,86.50,1754706
11-Apr-13,91.18,91.98,90.01,90.11,592133
10-Apr-13,92.72,93.11,90.97,91.01,718661
9-Apr-13,91.83,92.59,91.25,92.14,708162
8-Apr-13,89.04,91.91,89.02,91.85,852511
5-Apr-13,88.42,89.87,87.82,89.23,993472
4-Apr-13,91.01,91.17,88.76,89.68,834411
3-Apr-13,94.01,94.25,90.72,91.07,827400
2-Apr-13,97.51,97.51,93.41,94.02,970526
1-Apr-13,97.49,97.62,95.76,97.35,514006
28-Mar-13,98.18,98.87,97.29,97.43,659939
27-Mar-13,97.74,99.39,97.28,98.36,1358908
26-Mar-13,97.75,98.84,97.02,98.69,1407482
25-Mar-13,95.46,97.47,95.10,97.16,1336399
22-Mar-13,94.11,95.07,93.55,94.93,1156030
21-Mar-13,94.23,94.99,93.33,93.45,585958
20-Mar-13,94.02,95.64,93.86,94.70,883042
19-Mar-13,96.39,96.48,92.53,93.01,722114
18-Mar-13,94.99,97.27,94.54,96.38,1061297
15-Mar-13,96.70,97.95,95.90,96.19,1111357
14-Mar-13,94.18,97.00,94.15,96.82,1226111
13-Mar-13,91.34,95.39,91.01,94.09,1519866
12-Mar-13,91.73,91.99,90.80,91.48,791084
11-Mar-13,91.96,92.29,90.55,91.36,667127
8-Mar-13,91.25,92.82,90.16,92.50,791984
7-Mar-13,88.63,91.38,88.29,90.92,1035514
6-Mar-13,89.22,89.36,87.71,87.93,793584
5-Mar-13,89.09,89.60,88.26,88.89,922884
4-Mar-13,88.13,89.28,87.17,88.22,1235714
1-Mar-13,89.12,89.24,87.72,88.39,1304471
28-Feb-13,89.74,90.63,89.10,89.96,1182193
27-Feb-13,89.23,90.76,88.81,89.50,989781
26-Feb-13,90.79,91.25,87.05,89.07,1684041
25-Feb-13,95.24,95.41,90.11,90.21,1364327
22-Feb-13,93.55,96.40,93.55,94.75,1442080
21-Feb-13,95.54,95.54,90.56,92.85,1358901
20-Feb-13,97.84,97.98,94.47,94.67,1082843
19-Feb-13,96.72,97.85,96.66,97.79,654167
15-Feb-13,96.07,96.55,94.95,96.44,1225489
14-Feb-13,94.13,96.94,93.65,96.45,1373550
13-Feb-13,96.07,96.15,93.82,93.96,1413661
12-Feb-13,96.53,96.97,95.62,96.16,857633
11-Feb-13,96.13,96.62,95.08,96.52,638630
8-Feb-13,93.74,97.87,93.63,96.15,1521147
7-Feb-13,92.26,92.78,91.05,91.82,522472
6-Feb-13,90.60,92.08,90.42,92.08,580015
5-Feb-13,91.06,91.37,89.89,90.67,834775
4-Feb-13,90.42,90.84,89.88,90.46,429687
1-Feb-13,91.36,91.83,90.35,91.38,617368
31-Jan-13,90.74,91.63,89.47,91.22,656801
30-Jan-13,92.25,96.51,91.13,91.49,783367
29-Jan-13,90.46,91.68,90.39,91.54,1125944
28-Jan-13,92.00,92.00,90.30,90.53,590844
25-Jan-13,90.81,91.96,90.56,91.90,644129
24-Jan-13,89.47,91.46,89.47,90.35,812853
23-Jan-13,90.24,90.68,88.76,89.45,837155
22-Jan-13,89.13,90.75,89.09,90.64,757499
18-Jan-13,87.85,89.21,87.52,89.20,1013919
17-Jan-13,87.85,88.79,86.82,88.30,864990
16-Jan-13,86.96,87.46,86.17,87.01,868418
15-Jan-13,85.66,87.78,85.36,87.46,974059
14-Jan-13,85.77,86.85,85.20,86.41,890887
11-Jan-13,86.27,86.89,85.07,85.83,804448
10-Jan-13,85.41,86.95,85.41,86.40,1482142
9-Jan-13,85.00,85.33,84.14,84.80,973195
8-Jan-13,83.44,85.04,82.34,85.02,1286784
7-Jan-13,82.76,83.90,81.41,83.60,1366184
4-Jan-13,83.46,84.49,83.10,83.78,1026269
3-Jan-13,81.66,85.23,80.99,83.63,1777380
2-Jan-13,80.87,82.66,79.67,81.96,1444831
31-Dec-12,78.73,80.92,78.59,80.56,734224
28-Dec-12,77.69,79.25,76.81,78.87,2490848
27-Dec-12,79.12,79.12,77.49,78.15,1065164
26-Dec-12,79.21,79.86,78.45,79.03,509438
24-Dec-12,79.48,79.86,78.28,78.71,444973
21-Dec-12,79.88,80.27,79.00,79.49,1950702
20-Dec-12,81.42,82.17,80.36,81.26,2140709
19-Dec-12,83.52,83.61,81.64,81.67,1108841
18-Dec-12,82.85,84.83,82.43,83.71,725203
17-Dec-12,82.70,83.10,82.15,82.69,736556
14-Dec-12,83.58,83.90,81.96,82.39,677710
13-Dec-12,84.11,87.60,81.35,81.69,1014956
12-Dec-12,83.95,85.37,83.47,84.01,1361090
11-Dec-12,82.87,84.37,82.81,83.67,861766
10-Dec-12,82.93,82.93,81.12,82.59,1015434
7-Dec-12,81.15,82.35,81.04,81.67,534472
6-Dec-12,81.13,81.97,80.77,81.07,748596
5-Dec-12,79.68,82.85,78.08,81.63,1480681
4-Dec-12,78.50,78.82,76.97,77.80,787753
3-Dec-12,80.62,81.17,78.51,78.78,810494
30-Nov-12,80.43,81.18,79.61,80.26,866161
29-Nov-12,78.98,81.26,78.74,80.46,1129565
28-Nov-12,78.19,78.57,77.39,78.12,1137178
27-Nov-12,78.77,79.59,77.71,78.62,1016541
26-Nov-12,79.29,80.42,78.60,78.90,954269
23-Nov-12,80.64,81.34,80.34,81.24,148104
21-Nov-12,80.00,81.12,79.43,80.45,573483
20-Nov-12,81.25,81.84,79.36,79.65,1235062
19-Nov-12,80.64,81.60,80.07,81.57,674126
16-Nov-12,80.81,81.00,77.47,79.14,1174050
15-Nov-12,80.03,80.93,78.50,80.32,1164272
14-Nov-12,79.94,81.63,79.50,80.06,1014910
13-Nov-12,79.27,82.22,79.27,80.42,981517
12-Nov-12,82.85,83.38,80.68,80.97,1273482
9-Nov-12,81.53,83.51,80.16,82.73,2032504
8-Nov-12,85.00,87.33,79.85,80.40,4835829
7-Nov-12,87.23,89.10,86.78,87.00,908194
6-Nov-12,89.13,90.52,88.37,90.26,893235
5-Nov-12,87.50,88.84,87.23,88.34,454688
2-Nov-12,88.07,89.18,86.99,87.60,645430
1-Nov-12,85.90,88.22,85.10,88.07,980375
31-Oct-12,87.38,87.52,85.47,86.12,611970
26-Oct-12,87.41,88.20,86.23,86.77,647788
25-Oct-12,87.22,87.86,85.99,87.56,563060
24-Oct-12,88.00,88.00,85.91,86.17,789885
23-Oct-12,87.85,87.87,85.73,87.26,1102271
22-Oct-12,92.40,92.85,88.34,89.54,1136773
19-Oct-12,94.16,94.68,91.33,92.34,759004
18-Oct-12,93.69,94.93,93.25,94.36,532011
17-Oct-12,93.50,94.65,93.28,94.52,801291
16-Oct-12,92.72,93.89,92.26,93.08,611660
15-Oct-12,91.18,92.11,89.46,92.10,731615
12-Oct-12,92.90,94.18,90.68,91.46,1088573
11-Oct-12,94.71,95.13,92.89,92.99,924988
10-Oct-12,95.01,95.92,92.57,93.36,722731
9-Oct-12,94.81,96.44,94.63,95.30,468856
8-Oct-12,93.15,94.87,93.15,94.81,465060
5-Oct-12,96.73,96.86,93.25,93.98,714404
4-Oct-12,95.86,96.08,94.75,95.94,790469
3-Oct-12,96.62,96.62,94.08,95.02,826329
2-Oct-12,97.69,97.85,96.10,96.88,912248
1-Oct-12,96.28,98.22,95.61,97.48,1121513
28-Sep-12,93.44,95.04,93.17,94.75,968812
27-Sep-12,94.17,95.70,93.42,94.43,917930
26-Sep-12,95.62,95.90,92.57,93.00,1299783
25-Sep-12,97.65,98.28,95.90,96.03,1038657
24-Sep-12,98.50,99.00,96.33,96.94,856855
21-Sep-12,98.66,100.42,98.25,100.23,1160210
20-Sep-12,96.68,97.84,96.13,97.49,556621
19-Sep-12,97.55,98.63,96.13,97.57,989005
18-Sep-12,98.87,99.26,96.42,97.92,877151
17-Sep-12,100.83,102.26,99.69,99.80,949524
14-Sep-12,97.90,101.51,97.59,101.15,1716128
13-Sep-12,93.10,97.90,91.74,97.28,1446279
12-Sep-12,94.82,95.77,92.69,93.22,889852
11-Sep-12,94.15,94.61,93.37,93.99,959401
10-Sep-12,94.42,96.22,93.85,93.90,821593
7-Sep-12,92.67,94.40,91.80,94.27,636650
6-Sep-12,89.81,94.91,89.81,91.76,1565612
5-Sep-12,88.20,88.83,87.26,88.58,1012423
4-Sep-12,89.92,90.11,87.96,88.14,937431
31-Aug-12,89.28,91.05,88.91,89.74,606918
30-Aug-12,89.48,89.48,88.02,88.15,624275
29-Aug-12,92.39,92.39,88.79,89.70,1071406
28-Aug-12,92.46,93.17,91.05,91.87,643564
27-Aug-12,93.49,94.08,92.40,92.63,491877
24-Aug-12,92.48,93.93,92.20,93.20,462062
23-Aug-12,93.75,94.59,92.73,92.95,597447
22-Aug-12,93.80,94.35,92.68,94.06,1059776
21-Aug-12,95.86,96.58,93.81,94.08,735650
20-Aug-12,96.14,96.61,94.83,95.20,608685
17-Aug-12,97.11,97.26,96.05,96.34,412782
16-Aug-12,96.20,97.49,95.40,97.00,616151
15-Aug-12,94.78,96.50,94.18,96.25,479581
14-Aug-12,93.62,95.94,93.62,95.08,761446
13-Aug-12,94.86,95.72,93.40,93.80,490425
10-Aug-12,92.29,95.21,92.04,95.21,556804
9-Aug-12,92.82,94.45,92.47,93.83,538652
8-Aug-12,92.57,94.96,92.57,92.94,971702
7-Aug-12,87.62,94.90,87.44,93.02,1999284
6-Aug-12,88.34,90.01,88.27,89.17,801227
3-Aug-12,88.62,91.01,88.37,88.77,823390
2-Aug-12,85.83,87.95,85.61,86.64,1229751
1-Aug-12,85.94,87.87,84.90,87.58,1040178
31-Jul-12,87.47,89.45,84.78,85.25,1804521
30-Jul-12,86.41,86.65,84.49,85.63,1025071
27-Jul-12,83.97,87.07,82.15,86.40,1423975
26-Jul-12,83.93,84.12,80.76,82.86,1327530
25-Jul-12,82.49,82.77,80.86,82.33,685315
24-Jul-12,84.97,85.46,80.57,81.90,1520076
23-Jul-12,86.71,87.47,84.30,84.66,1766268
20-Jul-12,88.77,89.64,87.49,88.94,713955
19-Jul-12,89.96,91.35,88.89,90.17,1378926
18-Jul-12,88.57,91.22,88.21,89.14,1228584
17-Jul-12,86.87,89.65,85.61,89.24,1042124
16-Jul-12,83.79,86.74,83.68,86.07,955067
13-Jul-12,83.92,85.26,83.09,83.98,942997
12-Jul-12,82.30,84.61,81.43,83.79,1039112
11-Jul-12,83.30,84.13,82.50,83.70,779049
10-Jul-12,84.62,85.21,82.14,82.92,1007305
9-Jul-12,84.04,85.16,82.81,84.35,761161
6-Jul-12,85.75,86.28,83.54,84.39,937290
5-Jul-12,88.64,89.14,86.99,87.36,705490
3-Jul-12,86.85,89.16,86.65,89.16,698029
2-Jul-12,85.70,86.67,82.96,85.06,1193900
29-Jun-12,84.41,85.16,81.77,85.12,1658042
28-Jun-12,81.59,84.18,80.03,81.20,1965119
27-Jun-12,80.85,82.70,80.58,82.51,1083692
26-Jun-12,78.04,81.34,78.04,81.02,1749416
25-Jun-12,81.47,81.47,76.17,78.48,1629765
22-Jun-12,80.21,82.23,78.71,81.08,1626076
21-Jun-12,86.23,86.29,79.29,79.86,2182375
20-Jun-12,89.37,90.13,85.70,86.12,3896663
19-Jun-12,90.06,90.08,88.65,89.37,1466229
18-Jun-12,90.17,90.47,87.34,88.86,1722934
15-Jun-12,90.10,91.25,89.38,91.14,896893
14-Jun-12,90.10,92.08,89.50,89.77,956308
13-Jun-12,89.68,91.79,88.90,89.68,772332
12-Jun-12,88.84,91.29,87.71,90.76,1073006
11-Jun-12,93.67,94.14,87.92,88.17,1141250
8-Jun-12,90.48,92.42,89.02,92.26,822501
7-Jun-12,93.36,94.43,91.30,91.98,890626
6-Jun-12,89.41,91.69,89.31,91.65,1020844
5-Jun-12,85.01,87.73,85.01,87.45,763756
4-Jun-12,84.31,85.06,82.74,85.01,1044063
1-Jun-12,86.36,86.36,83.41,83.78,1554639
31-May-12,88.35,88.52,84.84,87.74,993433
30-May-12,91.62,91.62,87.54,88.05,863554
29-May-12,90.95,94.05,90.95,93.58,1040779
25-May-12,88.92,90.36,88.76,89.67,639124
24-May-12,90.61,90.61,87.98,88.85,1121562
23-May-12,88.39,90.66,86.33,90.51,596653
22-May-12,91.43,93.17,88.87,89.64,1069478
21-May-12,86.71,90.51,86.29,90.26,799640
18-May-12,86.93,88.12,85.59,85.90,959948
17-May-12,88.97,90.00,86.41,86.49,920350
16-May-12,89.92,91.25,88.12,88.50,1072831
15-May-12,92.34,93.09,89.16,89.61,1203370
14-May-12,90.02,94.00,87.14,92.02,3101469
11-May-12,89.74,91.85,88.96,89.17,1060424
10-May-12,91.19,92.59,90.15,91.32,1345733
9-May-12,90.43,90.75,87.44,90.07,2165420
8-May-12,92.40,92.45,90.00,92.12,1257227
7-May-12,95.52,96.36,92.99,93.25,1229255
4-May-12,99.30,99.43,95.11,96.32,1456194
3-May-12,103.98,103.99,98.76,99.50,2458197
2-May-12,105.69,107.26,104.48,105.23,1016283
1-May-12,107.49,108.67,106.48,107.10,567242
30-Apr-12,108.00,108.00,105.66,107.18,790684
27-Apr-12,107.12,108.31,106.33,108.20,562781
26-Apr-12,103.85,109.25,103.73,107.11,1044166
25-Apr-12,99.50,104.65,98.37,104.20,900670
24-Apr-12,99.66,100.13,97.77,98.70,575893
23-Apr-12,96.61,99.94,95.36,99.17,698058
20-Apr-12,100.65,101.24,97.96,98.17,745780
19-Apr-12,98.00,99.78,97.68,99.63,1013066
18-Apr-12,97.09,98.56,96.65,97.83,829847
17-Apr-12,97.93,99.37,97.35,97.58,870051
16-Apr-12,98.31,100.05,96.40,96.91,769321
13-Apr-12,98.06,98.48,96.75,97.54,486104
12-Apr-12,95.19,99.09,95.00,98.70,649190
11-Apr-12,97.57,97.77,94.84,95.21,621085
10-Apr-12,97.94,98.83,95.47,96.29,740309
9-Apr-12,97.76,98.86,96.52,97.84,747278
5-Apr-12,100.13,102.06,99.02,99.34,645480
4-Apr-12,101.14,101.82,99.51,100.92,737003
3-Apr-12,103.44,104.14,101.71,102.81,860066
